batch,batch_time_ms,forward_time_ms,backward_time_ms
1,204.18555289506912,53.526125848293304,140.1154100894928
2,131.93290680646896,49.7133731842041,72.94526696205139
3,131.93318247795105,49.63364452123642,72.93378561735153
4,131.32192939519882,49.563340842723846,72.7241188287735
5,130.83843141794205,49.45174604654312,72.50873744487762
6,131.91934674978256,49.60770159959793,72.84118235111237
7,131.467305123806,49.47316646575928,72.70890474319458
8,133.68959724903107,49.617454409599304,73.88324290513992
9,131.3641145825386,49.498170614242554,72.98857718706131
10,131.24767690896988,49.44421350955963,72.8856772184372
11,131.28945231437683,49.49951171875,72.84446805715561
12,131.4396634697914,49.515917897224426,72.90580123662949
13,131.21125847101212,49.53497648239136,72.74865359067917
14,131.30980730056763,49.514032900333405,72.85398244857788
15,131.23253732919693,49.544721841812134,72.79323041439056
16,131.36179000139236,49.55059289932251,72.88754731416702
17,131.03584945201874,49.469657242298126,72.61847704648972
18,131.24924153089523,49.51126128435135,72.81792908906937
19,131.5310150384903,49.53234642744064,73.07519018650055
20,131.1652511358261,49.45620894432068,72.80439883470535
21,131.12536072731018,49.48437213897705,72.71180301904678
22,131.212517619133,49.50670897960663,72.759710252285
23,131.30038231611252,49.62583631277084,72.72519171237946
24,131.28062337636948,49.460165202617645,72.86294549703598
25,131.35597854852676,49.45109784603119,72.98429310321808
26,131.16100430488586,49.48090761899948,72.83400744199753
27,132.01799243688583,49.59501326084137,73.15955311059952
28,131.16885721683502,49.445778131484985,72.8381872177124
29,131.10008090734482,49.607113003730774,72.65211641788483
30,130.78484684228897,49.40235614776611,72.57729768753052
31,130.93498349189758,49.48635399341583,72.687067091465
32,130.78919798135757,49.46281015872955,72.52012938261032
33,130.81412762403488,49.467846751213074,72.58401811122894
34,130.87091594934464,49.631960690021515,72.4933072924614
35,130.76267391443253,49.47783797979355,72.54596054553986
36,130.8814287185669,49.473993480205536,72.6303681731224
37,130.92976063489914,49.57912862300873,72.54748046398163
38,130.97772002220154,49.61244761943817,72.61144369840622
39,131.02172315120697,49.666136503219604,72.59750366210938
40,130.80640882253647,49.50377345085144,72.54824042320251
41,142.23623275756836,52.65062302350998,74.62713122367859
42,132.97536224126816,49.838513135910034,72.831891477108
43,131.93905353546143,49.592167139053345,72.85096496343613
44,132.36898928880692,49.57906901836395,73.18395376205444
45,131.89071416854858,49.55056309700012,72.85145670175552
46,131.73899799585342,49.69125986099243,72.79004901647568
47,131.9298967719078,49.5927557349205,72.8866457939148
48,131.91170990467072,49.614161252975464,72.85381108522415
49,132.06234574317932,49.62427169084549,72.91482388973236
50,131.7484900355339,49.58324134349823,72.83660024404526
51,132.10614770650864,49.71332103013992,72.80728220939636
52,131.89361989498138,49.5605394244194,72.84567505121231
53,131.3970908522606,49.57333207130432,72.6671889424324
54,130.95741719007492,49.47499930858612,72.57845997810364
55,131.08541816473007,49.5031476020813,72.65248894691467
56,131.0717687010765,49.49795454740524,72.6717859506607
57,130.98382204771042,49.51324313879013,72.58133590221405
58,131.0584992170334,49.561887979507446,72.54810631275177
59,131.01892173290253,49.5360791683197,72.55442440509796
60,131.0773640871048,49.54405128955841,72.63702154159546
61,131.01259618997574,49.506351351737976,72.61732220649719
62,130.94599545001984,49.491412937641144,72.58623093366623
63,130.9920847415924,49.48583245277405,72.53050059080124
64,130.99760562181473,49.52278733253479,72.56511598825455
65,130.9541091322899,49.476563930511475,72.58745282888412
66,130.9787631034851,49.52666163444519,72.61740416288376
67,131.00386410951614,49.48735982179642,72.6100206375122
68,131.02024048566818,49.52692985534668,72.58188724517822
69,130.94453513622284,49.468740820884705,72.56236672401428
70,130.96757978200912,49.481965601444244,72.59573042392731
71,131.11156970262527,49.643173813819885,72.54847884178162
72,130.94665110111237,49.53519254922867,72.50215858221054
73,131.04451447725296,49.55126345157623,72.59561121463776
74,131.00149482488632,49.503207206726074,72.59247452020645
75,130.99254667758942,49.488648772239685,72.60312139987946
76,130.92774897813797,49.46631193161011,72.53144681453705
77,130.85784763097763,49.45991933345795,72.62054085731506
78,130.85010647773743,49.421779811382294,72.5908875465393
79,130.87280839681625,49.4350865483284,72.61098176240921
80,131.11627846956253,49.73439872264862,72.58202880620956
81,142.8636908531189,53.12865227460861,73.87526333332062
82,131.8802610039711,49.65047538280487,72.84514605998993
83,131.97248429059982,49.76729303598404,72.89157062768936
84,132.4433833360672,49.644649028778076,72.97860831022263
85,132.13584572076797,49.70814287662506,73.04947078227997
86,132.40563869476318,49.83975738286972,73.01165163516998
87,131.7957565188408,49.70279335975647,72.86674529314041
88,132.09328800439835,49.683935940265656,72.86253571510315
89,132.25048780441284,49.84438419342041,72.96226918697357
90,132.01480358839035,49.64146763086319,72.85649329423904
91,131.62263482809067,49.701571464538574,72.73996621370316
92,131.8378821015358,49.45682734251022,73.0077251791954
93,132.49270617961884,49.678876996040344,73.36031645536423
94,132.34159350395203,49.648068845272064,72.95089960098267
95,131.95430487394333,49.602702260017395,73.06984812021255
96,131.8589523434639,49.58171397447586,72.92868196964264
97,131.22648000717163,49.51861500740051,72.80834764242172
98,132.430799305439,49.76554214954376,72.97506928443909
99,131.87509775161743,49.49361830949783,73.00280779600143
100,133.64306837320328,50.03911256790161,73.04199039936066
101,132.37763196229935,49.722298979759216,72.83832132816315
102,131.75102323293686,49.557991325855255,72.95640558004379
103,131.44385814666748,49.609676003456116,72.73302972316742
104,132.1398690342903,49.652986228466034,73.02416115999222
105,131.42140209674835,49.66791719198227,72.7066844701767
106,131.91716372966766,49.6426597237587,72.95837998390198
107,131.3517913222313,49.72340911626816,72.61878997087479
108,134.0125948190689,49.53622817993164,73.09714704751968
109,133.76378268003464,49.68792200088501,72.82167673110962
