Architecture,Temporal Efficiency (IoU/min),Computational Efficiency (IoU/M_params),Inference Efficiency (IoU/ms),Global Efficiency Score,IoU (%),Training Time (min),Parameters (M),Inference Time (ms)
HRNet,7.4756106098518496,103.60422597701418,37.06151478935084,49.380450458738956,90.19721751023268,12.06553179634114,0.870594,2.433716431260109
CCNet,7.166331928776998,98.98226547015462,35.94741929793166,47.36533889895443,86.58830008157467,12.082652735337614,0.874786,2.4087487161159515
DANet,7.12515191718425,98.88665221516551,24.895518325297637,43.63577415254914,89.69118242567727,12.587967732921243,0.90701,3.602703958749771
LinkNet,7.959685137468517,15.640268736289503,52.55882647670681,25.386260116821614,97.40862594734762,12.237748637671272,6.228066,1.8533257395029068
D-LinkNet,7.975740399411712,8.78122182849694,40.6025345539428,19.11983226061715,96.15200809214781,12.055558891966939,10.94973,2.368128225207329
MSFANet,2.4903736823359846,7.87344113530651,4.9687627155064815,5.110859177716325,71.45239162207827,28.691433791195355,9.075116,14.380318745970726
