batch,batch_time_ms,forward_time_ms,backward_time_ms
1,586.2884148955345,41.04713350534439,488.63501846790314
2,35.7123464345932,5.542278289794922,11.911191046237946
3,26.796497404575348,5.571775138378143,11.946432292461395
4,26.59992128610611,5.48844039440155,11.965766549110413
5,26.551686227321625,5.526065826416016,11.946193873882294
6,27.06295996904373,5.583956837654114,12.0154470205307
7,26.463113725185394,5.534954369068146,11.990323662757874
8,27.30865776538849,5.712561309337616,12.006916105747223
9,26.656463742256165,5.589552223682404,11.934466660022736
10,28.061799705028534,6.434537470340729,12.135572731494904
11,27.179457247257233,5.864843726158142,12.01564073562622
12,27.55541354417801,5.988866090774536,12.098714709281921
13,27.347050607204437,5.898825824260712,12.052342295646667
14,27.424700558185577,5.682468414306641,12.0936781167984
15,26.48954838514328,5.554310977458954,11.93132996559143
16,27.650214731693268,5.961596965789795,12.090720236301422
17,26.443779468536377,5.543172359466553,11.905103921890259
18,27.14679390192032,5.682453513145447,12.05214112997055
19,26.4279842376709,5.530036985874176,11.854507029056549
20,27.323246002197266,5.6265369057655334,12.079551815986633
21,26.447094976902008,5.537562072277069,11.890679597854614
22,27.67917513847351,6.180725991725922,12.075334787368774
23,26.974201202392578,5.71838766336441,12.026049196720123
24,27.152657508850098,5.599573254585266,12.087218463420868
25,27.019865810871124,5.673900246620178,12.019991874694824
26,27.115583419799805,5.664370954036713,12.076221406459808
27,27.151115238666534,5.838058888912201,11.993847787380219
28,27.18966454267502,5.657874047756195,12.068696320056915
29,27.311407029628754,5.872584879398346,12.080825865268707
30,27.166910469532013,5.680546164512634,12.057967483997345
31,27.261584997177124,5.674280226230621,12.062080204486847
32,27.344994246959686,5.929149687290192,12.057051062583923
33,27.444802224636078,5.685202777385712,12.036040425300598
34,26.959329843521118,5.608461797237396,12.039020657539368
35,27.74961292743683,6.034567952156067,12.076079845428467
36,26.58975124359131,5.531735718250275,11.962853372097015
37,27.500785887241364,5.7076141238212585,12.098819017410278
38,26.675067842006683,5.543015897274017,11.949963867664337
39,27.40464359521866,5.957536399364471,12.00663298368454
40,26.36629343032837,5.50360232591629,11.877544224262238
41,35.66285967826843,9.789109230041504,14.280542731285095
42,26.535816490650177,5.563370883464813,11.904001235961914
43,27.063213288784027,5.623951554298401,12.02487200498581
44,26.605278253555298,5.562730133533478,11.853158473968506
45,26.826396584510803,5.581557750701904,11.865496635437012
46,26.466377079486847,5.5028945207595825,11.758007109165192
47,26.66264772415161,5.587004125118256,11.80216670036316
48,26.542142033576965,5.494505167007446,11.811748147010803
49,26.62341296672821,5.557604134082794,11.79908961057663
50,26.50301903486252,5.495615303516388,11.833488941192627
51,27.140893042087555,5.681455135345459,11.927425861358643
52,26.73141658306122,5.517736077308655,11.848650872707367
53,26.81524306535721,5.591563880443573,11.850431561470032
54,26.536785066127777,5.474910140037537,11.778824031352997
55,27.097798883914948,5.748525261878967,11.85588538646698
56,26.642948389053345,5.512602627277374,11.76617294549942
