Architecture,Total Training (min),Avg Epoch (s),Avg Batch (ms),Avg Forward (ms),Avg Backward (ms),Inference (ms),Parameters (M),IoU (%)
D-LinkNet,12.055558891966939,2.2535372474292914,30.405726203074057,6.351512126003702,14.667933573946357,2.368128225207329,10.94973,96.15200809214781
HRNet,12.06553179634114,2.253937480648359,37.06778628999988,7.833717975144585,19.999037648861606,2.433716431260109,0.870594,90.19721751023268
CCNet,12.082652735337614,2.2547995690256357,37.15238002625605,7.82680974714458,20.032627245411277,2.4087487161159515,0.874786,86.58830008157467
LinkNet,12.237748637671272,2.2105160095294316,26.69030747190118,5.404234039286773,11.845952808856964,1.8533257395029068,6.228066,97.40862594734762
DANet,12.587967732921243,2.352385610640049,50.0527500739942,12.16736300351719,28.61309208534658,3.602703958749771,0.90701,89.69118242567727
MSFANet,28.691433791195355,5.501754255915682,129.42360501612225,47.34820456119875,72.75480810490747,14.380318745970726,9.075116,71.45239162207827
