epoch,epoch_time_ms
1,1796.0066800005734
2,1621.3146390000475
3,1683.8065410001946
4,1624.8649649996878
5,1595.1240999993388
6,1608.2818189997852
7,1641.0531149995222
8,1621.4257830006318
9,1616.7645389996324
10,1634.5161680001183
11,1637.1703240001807
12,1583.0924210004014
13,1629.2042790000778
14,1641.4606050002476
15,1620.429962000344
16,1690.5248630000642
17,1661.3247839995893
18,1631.235989999368
19,1649.7754609999902
20,1628.58696100011
21,1626.267325000299
22,1687.5421289996666
23,1620.027449999725
24,1628.2986080004775
25,1776.0891049993006
26,1623.217428999851
27,1630.5707439996695
28,1634.6184009998979
29,1714.7300389997326
30,1592.961672000456
31,1619.6385310004189
32,1661.1541740003304
33,1621.0302350000347
34,1691.9733360000464
35,1608.033594000517
36,1674.28868099978
37,1651.1239600004046
38,1665.386906999629
39,1643.6988200002816
40,1620.7321499996397
41,1670.0803889998497
42,1640.131848999772
43,1671.5217649998522
44,1627.324199999748
45,1647.996699000032
46,1628.6057220004295
47,1667.5311949993556
48,1650.2142580002328
49,1647.21772699977
50,1642.2086709999348
51,1680.5820959998528
52,1661.312960000032
53,1663.6287689998426
54,1613.7667510001847
55,1839.7830260000774
56,1590.6804989999728
57,1672.9479119994721
58,1639.5678919998318
59,1619.9921639999957
60,1661.2343219994727
61,1631.426733999433
62,1642.1679779996339
63,1786.5069599993149
64,1606.3877429996865
65,1654.7041149997312
66,1722.319675000108
67,1640.2817890002552
68,1632.9265490003309
69,1627.6658970000426
70,1658.5041429998455
71,1615.631561000555
72,1697.5813199996992
73,1625.2115560000675
74,1698.2823990001634
75,1584.5257089995357
76,1664.4616959993073
77,1654.6141079998051
78,1650.6186719998368
79,1629.4187140001668
80,1620.5657869995775
81,1623.572317000253
82,1647.7658300000257
83,1623.8813669997398
84,1717.5524370004496
85,1640.5470600002445
86,1786.5188920004584
87,1605.2989429999798
88,1643.389040999864
89,1621.6121139996176
90,1801.1253000004217
91,1731.0796359997767
92,1786.7983469996034
93,1651.6021279994675
94,1641.1284659998273
95,1624.3443960001969
96,1607.0663850005076
97,1660.6994419998955
98,1647.4158630007878
99,1648.2016909994854
100,1676.1208520001674
101,1663.9989719997175
102,1615.528483000162
103,1614.251862999481
104,1659.6275170004446
105,1639.6877130000576
106,1717.8701000002548
107,1659.1629470003681
108,1627.8590649999387
109,1652.8896930003611
110,1684.6948569991582
111,1827.7574180001466
112,1773.5190819994386
113,1759.6806569999899
114,1633.602154000073
115,1712.420881000071
116,1698.4267480002018
117,1749.0722329994242
118,1760.3678939995007
119,1771.4513840001018
120,1802.6487900006032
121,1687.724366999646
122,1778.2692929995392
123,1785.1071189998038
124,1771.8577140003617
125,1787.7732859997195
126,1704.6421850000115
127,1771.6866229993684
128,1830.689959000665
129,1801.0596209996947
130,1843.2225289998314
131,1657.7525299999252
132,1774.9388239999462
133,1677.7711559998352
134,1734.4806280007106
135,1812.646592999954
136,1715.0026300005266
137,1791.9381800002157
138,1770.5719830000817
139,1812.4465680002686
140,1767.2008230001666
141,1736.37983000026
142,1798.0897899997217
143,1780.6385619996945
144,1757.2158150005635
145,1808.447397999771
146,1758.103201999802
147,1632.101168999725
148,1796.6063490002853
149,1772.7115370007596
150,1742.453476999799
151,1755.4119439992064
152,1789.329949000603
153,1807.2674260001804
154,1788.5933479992673
155,1779.2906489994493
156,1760.7855999995081
157,1737.1637579999515
158,1722.006433000388
159,1752.9073149999022
160,1812.7155430001949
161,1735.333819000516
162,1800.228185999913
163,1779.4633359999352
164,1745.9641180003018
165,1763.9312219998828
166,1703.9768030008418
167,1755.205960999774
168,1748.8028450006823
169,1736.1014910002268
170,1769.5410639998954
171,1770.0816910000867
172,1791.9370749996233
173,1771.039954999651
174,1767.7599889993871
175,1779.7353290006868
176,1752.028103000157
177,1765.9651780004424
178,1739.9618689996714
179,1780.8959290005077
180,1738.9822969998932
181,1672.2996769995007
182,1744.6917820007002
183,1737.2504360000676
184,1799.173145000168
185,1821.0020340002302
186,1654.5862960001614
187,1746.8838499999038
188,1756.9481230002566
189,1750.7154429995353
190,1757.0783060000394
191,1761.4856860000145
192,1769.2865790004362
193,1769.6294910001598
194,1847.4215709993587
195,1742.999121000139
196,1656.284582999433
197,1770.7121029998234
198,1765.3300410001975
199,1799.5414139995773
200,1624.2680249997647
201,1750.0149769994096
202,1773.801956999705
203,1791.8821389994264
204,1773.788421000063
205,1757.7015509996272
206,1678.6093709997658
207,1784.1251250001733
208,1746.3373640002828
209,1733.0171710000286
210,1765.0738279999132
211,1721.8650009999692
212,1741.3244170002145
213,1688.226768000277
214,1667.2308110000813
215,1644.2216020004707
216,1670.2164890002678
217,1641.1880460000248
218,1693.1631099996594
219,1721.5226889993573
220,1754.3325140004526
221,1664.7909049997907
222,1656.616648000636
223,1728.7531230003879
224,1671.6874229996392
225,1772.5540010005716
226,1721.7981869998766
227,1666.72207099964
228,1683.554434999678
229,1687.453409000227
230,1713.1739090000337
231,1702.7934089992414
232,1686.7991759991128
233,1713.388543000292
234,1648.752111000249
235,1698.0523040001572
236,1698.220233000029
237,1630.8569559996613
238,1683.680742999968
239,1703.0720960001418
240,1813.9520949998769
241,1751.3506039995264
242,1694.439212999896
243,1728.9101959995605
244,1800.5340069994418
245,1699.5682560000205
246,1706.7817739998645
247,1778.3164760003274
248,1755.5075729997043
249,1725.3396850001081
250,1710.2512470000875
251,1673.277201000019
252,1633.703026999683
253,1666.3208529998883
254,1687.4175039993133
255,1704.0819229996487
256,1641.4414379996742
257,1686.3331090007705
258,1703.2433490003314
259,1715.5153749999954
260,1713.4244729995771
261,1690.8169810003528
262,1635.6991239999843
263,1689.9760289998085
