Architecture,Temporal Efficiency (IoU/min),Computational Efficiency (IoU/M_params),Inference Efficiency (IoU/ms),Global Efficiency Score,IoU (%),Training Time (min),Parameters (M),Inference Time (ms)
HRNet,9.969444639592572,98.7583126539566,88.66973458288837,65.79916395881251,85.97839444665868,8.624190971000008,0.870594,0.9696475900273072
CCNet,9.385301793351381,91.41339085289135,80.9980491026013,60.59891391628134,79.96715453063742,8.520467033600001,0.874786,0.9872725999775867
DANet,10.212733619542384,102.59257647151378,67.6699514482771,60.15842051311108,93.05249278542772,9.111418769150003,0.90701,1.3750932399671
LinkNet,10.700450832525364,15.80386351951853,127.43266395764348,51.31232610322913,98.42750505455369,9.198444681916666,6.228066,0.7723883500329976
D-LinkNet,9.768715555301295,8.16763216704294,99.6029141533235,39.179753958555914,89.43336696843511,9.15507944336667,10.94973,0.8978990999275993
MSFANet,6.832257221196346,7.884225016608557,15.103509891535907,9.939997376446938,71.55025659582458,10.472418452549997,9.075116,4.7373264300586015
