Architecture,Total Training (min),Avg Epoch (s),Avg Batch (ms),Avg Forward (ms),Avg Backward (ms),Inference (ms),Parameters (M),IoU (%)
CCNet,8.520467033600001,1.5877661983433062,12.573470392996796,2.6807561697497326,8.000238113245814,0.9872725999775867,0.874786,79.96715453063742
HRNet,8.624190971000008,1.6086550795900136,12.495768299837664,2.648443272329738,8.001683512669539,0.9696475900273072,0.870594,85.97839444665868
DANet,9.111418769150003,1.7008528922932935,16.419409693750445,3.944739318087386,10.535075639671883,1.3750932399671,0.90701,93.05249278542772
D-LinkNet,9.15507944336667,1.7124530790066819,7.993551019756524,1.6912405986674912,4.5169462236651725,0.8978990999275993,10.94973,89.43336696843511
LinkNet,9.198444681916666,1.7196359181999983,7.062502003081514,1.4441518885828373,3.9365252004983327,0.7723883500329976,6.228066,98.42750505455369
MSFANet,10.472418452549997,1.9662884329833528,41.18901146066613,12.703004478913348,26.193073793246487,4.7373264300586015,9.075116,71.55025659582458
